timestamp,x,z,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,30:87:D9:B1:7E:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:81:**,30:87:D9:31:61:**,00:24:6C:26:8B:**,30:87:D9:31:95:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7D:**,00:24:6C:26:87:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:B1:95:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,B0:6E:BF:3B:A8:**,30:87:D9:32:38:**
1662467761,0.6986389,20.4395599,-63,-68,-64,-100,-72,-80,-100,-78,-100,-74,-64,-100,-100,-100,-78,-79,-77,-75,-78,-70,-87,-100,-72,-100,-65,-39,-81,-64,-100,-100,-63,-100,-100,-79,-77,-87,-72,-64,-100,-100,-71,-100,-76,-64,-100,-72,-77,-57,-74,-64,-71,-70,-76,-65,-40,-57,-62,-100,-100,-68,-44,-60,-100,-80,-75,-57,-45,-69,-100,-51,-76,-100,-100,-62,-100,-100,-44,-76,-100,-52,-57,-68,-72
1662467762,0.6472359,20.442627,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-78,-100,-100,-69,-63,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-78,-80,-100,-100,-63,-100,-100,-100,-100,-77,-79,-68,-100,-100,-51,-100,-100,-79,-100,-51,-100,-100,-100,-100,-45,-77,-100,-100,-79,-100,-100,-51,-100,-100,-100,-63,-100,-100,-100,-100,-100
1662467763,0.8472061,20.4375153,-59,-100,-100,-80,-100,-78,-77,-100,-80,-100,-100,-78,-70,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-79,-100,-100,-74,-78,-100,-76,-71,-78,-100,-100,-100,-100,-73,-100,-100,-100,-76,-77,-76,-79,-100,-70,-100,-100,-100,-100,-100,-77,-76,-100,-100,-57,-71,-100,-74,-100,-58,-79,-78,-100,-100,-45,-75,-79,-100,-100,-100,-100,-59,-100,-77,-100,-71,-75,-100,-100,-100,-100
1662467764,0.9721889,20.4592667,-60,-100,-100,-79,-100,-100,-100,-100,-100,-100,-72,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-64,-100,-100,-63,-77,-100,-100,-100,-100,-100,-64,-100,-79,-100,-100,-100,-69,-100,-100,-75,-100,-100,-100,-100,-100,-100,-66,-100,-100,-60,-100,-100,-70,-100,-60,-100,-100,-100,-100,-45,-70,-100,-79,-100,-75,-100,-60,-100,-100,-100,-76,-100,-78,-100,-77,-100
1662467765,1.0727997,20.464323,-59,-100,-100,-79,-100,-100,-77,-100,-78,-100,-67,-79,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-71,-100,-100,-72,-67,-100,-100,-100,-100,-76,-72,-77,-100,-77,-100,-76,-69,-78,-100,-66,-100,-100,-100,-100,-77,-74,-71,-100,-100,-59,-100,-100,-68,-100,-58,-100,-76,-76,-100,-45,-69,-79,-100,-76,-100,-100,-58,-100,-77,-100,-67,-100,-100,-100,-76,-77
1662467766,1.1221027,20.4780884,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-78,-100,-100,-78,-65,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-77,-80,-100,-100,-64,-100,-100,-100,-100,-75,-77,-79,-100,-100,-50,-100,-100,-79,-100,-50,-100,-100,-100,-100,-45,-77,-100,-100,-77,-100,-100,-49,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467767,1.1218128,20.4817963,-63,-68,-64,-100,-72,-80,-100,-78,-100,-74,-68,-100,-100,-100,-78,-79,-77,-75,-78,-70,-87,-100,-72,-100,-62,-39,-81,-74,-100,-100,-73,-100,-100,-79,-77,-87,-72,-75,-100,-100,-71,-100,-76,-61,-100,-72,-77,-57,-74,-64,-71,-70,-76,-75,-40,-57,-64,-100,-100,-68,-44,-64,-100,-80,-75,-57,-45,-68,-100,-51,-76,-100,-100,-64,-100,-100,-44,-76,-100,-52,-57,-68,-72
1662467768,1.1178188,20.4759922,-56,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-80,-77,-100,-68,-63,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-78,-78,-77,-100,-65,-100,-100,-100,-100,-100,-77,-79,-100,-100,-54,-81,-100,-76,-100,-55,-100,-78,-100,-100,-45,-79,-77,-100,-100,-100,-100,-55,-100,-100,-100,-65,-100,-100,-100,-100,-100
1662467769,1.1189861,20.4760303,-56,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-80,-77,-100,-80,-71,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-78,-77,-77,-100,-72,-100,-100,-100,-100,-78,-78,-70,-100,-100,-56,-81,-100,-76,-100,-55,-100,-78,-100,-100,-45,-80,-77,-100,-79,-100,-100,-57,-100,-100,-100,-69,-100,-100,-100,-100,-100
1662467770,1.118454,20.4791737,-54,-100,-100,-81,-100,-78,-80,-100,-80,-100,-100,-78,-63,-72,-80,-78,-100,-100,-100,-100,-100,-74,-100,-100,-74,-100,-100,-74,-80,-100,-77,-62,-78,-100,-100,-100,-100,-74,-100,-100,-100,-76,-77,-72,-79,-100,-63,-100,-100,-100,-100,-76,-77,-73,-100,-100,-55,-71,-100,-74,-100,-55,-79,-78,-100,-100,-45,-74,-79,-100,-78,-100,-100,-54,-100,-77,-100,-63,-75,-100,-100,-100,-100
1662467771,1.1152897,20.4788074,-65,-68,-64,-100,-72,-80,-100,-78,-100,-74,-69,-100,-100,-100,-78,-79,-77,-75,-78,-70,-87,-100,-72,-100,-68,-39,-81,-63,-100,-100,-64,-100,-100,-79,-77,-87,-72,-71,-100,-100,-71,-100,-76,-67,-68,-72,-77,-57,-74,-64,-71,-70,-76,-64,-40,-57,-63,-100,-100,-70,-44,-60,-100,-67,-76,-57,-45,-71,-100,-51,-76,-100,-100,-64,-100,-100,-44,-76,-100,-52,-57,-68,-73
1662467772,1.1179428,20.4772568,-58,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-68,-77,-100,-68,-64,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-78,-77,-77,-100,-64,-100,-100,-100,-100,-78,-78,-70,-100,-100,-57,-81,-100,-76,-100,-57,-100,-78,-100,-100,-45,-80,-77,-100,-79,-100,-100,-56,-100,-100,-100,-64,-100,-100,-100,-100,-100
1662467773,1.1170597,20.4732628,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-78,-100,-100,-78,-62,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-73,-80,-100,-100,-60,-100,-100,-100,-100,-72,-73,-79,-100,-100,-49,-100,-100,-79,-100,-49,-100,-100,-100,-100,-45,-77,-100,-100,-71,-100,-100,-49,-100,-100,-100,-60,-100,-100,-100,-100,-100
1662467774,1.1177521,20.4771194,-57,-100,-100,-79,-100,-100,-100,-100,-78,-100,-72,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-72,-100,-100,-74,-77,-100,-100,-100,-100,-100,-73,-78,-100,-100,-100,-100,-70,-78,-100,-79,-100,-100,-100,-100,-100,-100,-72,-100,-100,-58,-100,-100,-70,-100,-58,-100,-78,-100,-100,-45,-71,-77,-100,-100,-100,-100,-59,-100,-100,-100,-76,-100,-78,-100,-77,-100
1662467775,1.1250019,20.4737167,-54,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-79,-100,-100,-81,-66,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-78,-78,-77,-100,-66,-100,-100,-100,-100,-79,-77,-77,-100,-100,-54,-81,-100,-76,-100,-54,-100,-78,-100,-100,-45,-76,-77,-100,-78,-100,-100,-54,-100,-100,-100,-62,-100,-100,-100,-100,-100
