timestamp,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,30:87:D9:B1:7E:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:81:**,30:87:D9:31:61:**,00:24:6C:26:8B:**,30:87:D9:31:95:**,30:87:D9:F1:7D:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,30:87:D9:B1:7C:**,04:92:26:53:B7:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7D:**,00:24:6C:26:87:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:B1:95:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**,B0:6E:BF:3B:A8:**,30:87:D9:32:38:**
1662467720.270342,-67,-100,-100,-78,-100,-100,-77,-100,-72,-100,-70,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-75,-100,-100,-64,-75,-100,-100,-100,-100,-76,-74,-70,-100,-78,-100,-75,-67,-72,-100,-78,-100,-100,-100,-100,-75,-73,-74,-100,-100,-67,-100,-100,-69,-100,-65,-100,-72,-71,-100,-45,-69,-77,-100,-76,-100,-100,-65,-100,-78,-100,-77,-100,-100,-100,-82,-73
1662467721.269360,-74,-100,-100,-79,-100,-79,-78,-100,-100,-100,-77,-100,-100,-100,-100,-80,-100,-100,-74,-75,-100,-100,-100,-100,-64,-100,-100,-79,-100,-100,-77,-100,-77,-100,-100,-100,-64,-76,-82,-100,-66,-100,-75,-64,-100,-73,-100,-100,-100,-100,-100,-76,-75,-78,-100,-100,-73,-100,-100,-62,-100,-76,-100,-100,-65,-100,-40,-63,-81,-100,-77,-100,-100,-77,-81,-79,-100,-100,-100,-100,-100,-81,-65
1662467722.269516,-58,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-69,-77,-100,-68,-65,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-78,-78,-77,-100,-64,-100,-100,-100,-100,-77,-78,-68,-100,-100,-59,-100,-100,-78,-100,-56,-100,-78,-100,-100,-45,-77,-77,-100,-77,-100,-100,-58,-100,-100,-100,-64,-100,-100,-100,-100,-100
1662467723.269960,-67,-100,-100,-78,-100,-100,-77,-100,-77,-100,-66,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-62,-100,-100,-62,-75,-100,-100,-100,-100,-70,-72,-70,-100,-72,-100,-74,-67,-69,-100,-78,-100,-100,-100,-100,-76,-73,-62,-100,-100,-65,-100,-100,-68,-100,-65,-100,-77,-72,-100,-45,-65,-77,-100,-76,-100,-100,-65,-100,-78,-100,-77,-100,-100,-100,-77,-73
1662467724.269758,-54,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-77,-100,-76,-64,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-78,-78,-77,-100,-62,-100,-100,-100,-100,-79,-77,-76,-100,-100,-54,-81,-100,-76,-100,-54,-100,-78,-100,-100,-45,-76,-77,-100,-78,-100,-100,-55,-100,-100,-100,-62,-100,-100,-100,-100,-100
1662467725.269225,-58,-100,-100,-78,-100,-100,-77,-100,-100,-100,-100,-73,-72,-72,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-73,-75,-100,-73,-74,-79,-100,-100,-100,-100,-74,-100,-100,-100,-73,-100,-75,-100,-100,-64,-100,-100,-100,-100,-100,-100,-73,-100,-100,-57,-75,-100,-78,-100,-57,-77,-100,-100,-100,-45,-100,-77,-100,-100,-100,-100,-57,-100,-78,-100,-74,-75,-100,-100,-74,-100
1662467726.269429,-76,-68,-64,-100,-72,-80,-100,-78,-100,-74,-69,-100,-76,-100,-100,-79,-77,-75,-78,-70,-87,-100,-72,-100,-68,-39,-81,-67,-100,-100,-68,-77,-100,-79,-77,-87,-72,-68,-100,-100,-67,-100,-78,-69,-68,-72,-76,-57,-74,-64,-71,-78,-77,-68,-40,-57,-70,-100,-100,-72,-44,-75,-100,-80,-76,-57,-45,-70,-100,-51,-79,-100,-100,-76,-100,-100,-44,-76,-100,-53,-57,-68,-73
1662467727.269647,-49,-100,-100,-100,-47,-100,-100,-100,-100,-100,-74,-100,-61,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-63,-100,-100,-100,-80,-100,-47,-78,-61,-100,-85,-100,-80,-100,-78,-100,-100,-100,-100,-73,-100,-100,-100,-67,-86,-100,-61,-100,-72,-74,-77,-100,-81,-56,-100,-61,-100,-52,-49,-100,-100,-100,-100,-55,-100,-100,-100,-74,-100,-48,-49,-100,-100,-52,-67,-100,-71,-100,-100,-100
1662467728.269525,-70,-100,-100,-78,-100,-100,-77,-100,-72,-100,-71,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-60,-100,-100,-61,-100,-100,-100,-100,-100,-66,-62,-70,-100,-73,-100,-75,-67,-72,-100,-78,-100,-100,-100,-100,-75,-73,-60,-100,-100,-71,-100,-100,-69,-100,-74,-100,-72,-67,-100,-45,-70,-77,-100,-74,-100,-100,-69,-100,-78,-100,-77,-100,-100,-100,-82,-69
1662467729.269655,-54,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-67,-77,-100,-68,-71,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-78,-78,-77,-100,-72,-100,-100,-100,-100,-78,-78,-80,-100,-100,-55,-81,-100,-76,-100,-53,-100,-78,-100,-100,-45,-80,-77,-100,-79,-100,-100,-55,-100,-100,-100,-72,-100,-100,-100,-100,-100
