timestamp,x,z,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:F1:7F:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:B1:7C:**,30:87:D9:F1:59:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7E:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:82:**,30:87:D9:31:54:**,00:24:6C:2D:17:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,00:24:6C:2D:1A:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:B1:95:**,30:87:D9:B1:59:**,30:87:D9:71:7F:**,30:87:D9:31:76:**,30:87:D9:32:38:**
1662468620,1.0609684,20.3370094,-100,-72,-74,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-73,-74,-100,-100,-100,-100,-62,-100,-100,-100,-77,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-69,-74,-76,-100,-70,-74,-56,-78,-71,-100,-100,-76,-76,-75,-100,-100,-70,-56,-100,-100,-100,-70,-100,-57,-81,-100,-75,-100,-100,-71,-78,-100,-100,-100,-100,-48,-73,-71
1662468621,1.0576,20.3358841,-78,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-77,-100,-100,-100,-100,-79,-100,-100,-100,-79,-100,-100,-100,-100,-74,-75,-77,-78,-100,-100,-46,-100,-100,-100,-100,-100,-35,-100,-100,-100,-74,-100,-100,-46,-100,-100,-100,-100,-100,-100,-46,-100
1662468622,1.059063,20.3304443,-72,-60,-77,-75,-77,-64,-100,-77,-76,-75,-100,-76,-78,-79,-78,-100,-81,-75,-77,-100,-68,-70,-66,-69,-87,-49,-100,-75,-100,-100,-75,-76,-72,-82,-78,-75,-100,-100,-80,-78,-75,-77,-77,-76,-100,-69,-78,-72,-60,-70,-100,-100,-64,-100,-71,-65,-70,-48,-100,-78,-78,-41,-69,-77,-100,-100,-77,-100,-61,-100,-100,-48,-100,-100,-69,-61,-75
1662468623,1.0586414,20.3347855,-77,-47,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-100,-78,-100,-100,-100,-100,-78,-100,-100,-100,-68,-100,-100,-100,-100,-79,-77,-75,-78,-100,-100,-46,-100,-100,-100,-100,-100,-35,-100,-100,-100,-68,-100,-100,-46,-100,-100,-100,-100,-100,-100,-47,-100
1662468624,1.058979,20.3304157,-73,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-77,-100,-100,-76,-100,-100,-100,-100,-73,-100,-100,-100,-100,-80,-100,-100,-100,-77,-100,-100,-100,-100,-75,-76,-75,-78,-100,-100,-48,-100,-100,-100,-100,-100,-35,-100,-100,-100,-75,-100,-100,-49,-100,-100,-100,-100,-100,-100,-49,-100
1662468625,1.0626945,20.3341751,-71,-53,-100,-100,-77,-100,-100,-79,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-72,-100,-75,-100,-100,-100,-65,-100,-100,-75,-73,-100,-100,-100,-71,-80,-100,-100,-100,-77,-100,-78,-76,-100,-77,-100,-71,-100,-73,-100,-100,-76,-100,-100,-53,-75,-100,-100,-100,-77,-41,-78,-78,-79,-100,-100,-100,-53,-100,-77,-100,-100,-100,-75,-53,-78
1662468626,1.0576286,20.329586,-100,-62,-70,-100,-100,-100,-76,-100,-100,-78,-100,-100,-100,-100,-80,-100,-100,-66,-69,-100,-100,-100,-100,-58,-100,-100,-100,-73,-100,-100,-72,-79,-100,-100,-70,-100,-100,-100,-100,-69,-72,-78,-100,-70,-70,-58,-81,-69,-100,-100,-71,-72,-74,-100,-100,-63,-58,-100,-100,-80,-70,-100,-58,-100,-100,-73,-100,-100,-63,-78,-100,-100,-100,-100,-48,-65,-66
1662468627,1.0601349,20.3327351,-100,-67,-70,-100,-100,-100,-76,-100,-100,-79,-100,-100,-100,-100,-80,-100,-100,-70,-69,-100,-100,-100,-100,-62,-100,-100,-100,-73,-100,-100,-73,-79,-100,-100,-69,-100,-100,-100,-100,-68,-72,-80,-100,-67,-74,-63,-81,-66,-100,-100,-76,-76,-74,-100,-100,-68,-62,-100,-100,-73,-69,-100,-61,-100,-100,-76,-100,-100,-67,-78,-100,-100,-100,-100,-48,-67,-66
1662468628,1.0631161,20.3314247,-100,-74,-83,-100,-80,-80,-78,-100,-100,-79,-76,-100,-79,-100,-79,-100,-100,-81,-77,-85,-100,-69,-100,-60,-100,-52,-74,-76,-100,-76,-76,-100,-82,-100,-73,-73,-100,-79,-86,-73,-74,-79,-100,-74,-74,-61,-81,-65,-67,-100,-76,-77,-78,-53,-64,-71,-69,-56,-100,-100,-74,-67,-69,-81,-100,-74,-100,-76,-70,-100,-78,-55,-100,-74,-48,-72,-73
1662468629,1.0611191,20.331377,-73,-58,-77,-75,-77,-64,-100,-77,-76,-78,-100,-74,-75,-79,-78,-100,-81,-75,-77,-100,-68,-67,-66,-69,-87,-49,-100,-66,-100,-100,-66,-76,-72,-82,-78,-74,-100,-100,-80,-68,-73,-77,-76,-76,-100,-68,-72,-71,-60,-66,-100,-100,-67,-100,-71,-64,-68,-48,-100,-77,-75,-41,-69,-77,-100,-100,-100,-100,-59,-100,-100,-48,-100,-100,-62,-57,-75
