timestamp,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:F1:7F:**,30:87:D9:31:7E:**,30:87:D9:F1:55:**,30:87:D9:71:7E:**,30:87:D9:F1:7E:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:5C:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:B1:7C:**,30:87:D9:F1:59:**,30:87:D9:B1:97:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:F1:97:**,30:87:D9:B1:7E:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:82:**,30:87:D9:31:54:**,00:24:6C:2D:17:**,30:87:D9:F1:77:**,30:87:D9:71:55:**,30:87:D9:F2:38:**,30:87:D9:31:97:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:B1:89:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,00:24:6C:2D:1A:**,30:87:D9:71:72:**,30:87:D9:F1:54:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:7C:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:72:38:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:31:F0:**,30:87:D9:31:95:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:B1:95:**,30:87:D9:B1:59:**,30:87:D9:71:7F:**,30:87:D9:31:76:**,30:87:D9:32:38:**
1662468589.175434,-100,-72,-79,-100,-100,-100,-76,-100,-100,-76,-100,-100,-100,-100,-100,-78,-100,-77,-77,-100,-100,-100,-100,-62,-100,-100,-100,-66,-100,-100,-67,-79,-100,-100,-79,-100,-100,-100,-100,-68,-66,-78,-100,-68,-74,-64,-82,-63,-100,-100,-76,-76,-67,-100,-100,-72,-63,-100,-100,-77,-67,-100,-62,-100,-100,-76,-100,-100,-72,-80,-100,-100,-100,-100,-48,-71,-66
1662468590.174999,-71,-57,-100,-100,-75,-100,-79,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-67,-77,-100,-77,-100,-100,-100,-100,-69,-80,-100,-100,-100,-75,-100,-100,-100,-100,-77,-100,-100,-100,-72,-100,-100,-67,-100,-100,-57,-75,-100,-76,-76,-100,-41,-76,-78,-75,-100,-100,-100,-58,-100,-77,-100,-77,-80,-100,-58,-100
1662468591.175194,-74,-58,-100,-100,-76,-100,-79,-77,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-76,-100,-75,-100,-100,-100,-69,-75,-100,-66,-73,-100,-100,-100,-74,-80,-100,-100,-100,-65,-100,-100,-76,-100,-77,-100,-74,-100,-74,-100,-100,-67,-100,-100,-57,-75,-100,-76,-76,-77,-41,-78,-78,-76,-100,-100,-100,-57,-100,-78,-100,-77,-100,-100,-57,-78
1662468592.175164,-73,-57,-77,-75,-77,-64,-100,-100,-76,-75,-100,-75,-78,-79,-76,-76,-100,-75,-77,-100,-68,-67,-66,-72,-87,-49,-100,-65,-100,-100,-66,-78,-72,-82,-78,-74,-100,-100,-80,-78,-64,-77,-75,-78,-100,-72,-77,-73,-60,-67,-100,-100,-66,-100,-71,-63,-73,-48,-100,-78,-76,-41,-71,-100,-100,-100,-76,-100,-57,-100,-100,-48,-100,-100,-69,-57,-78
1662468593.175201,-78,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-77,-100,-100,-76,-100,-100,-100,-100,-76,-100,-100,-100,-100,-78,-100,-100,-100,-70,-100,-100,-100,-100,-69,-77,-68,-79,-100,-100,-46,-100,-100,-100,-100,-100,-35,-100,-100,-100,-70,-100,-100,-47,-100,-100,-100,-100,-100,-100,-46,-100
1662468594.175196,-72,-58,-100,-100,-78,-100,-100,-79,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-73,-100,-75,-100,-100,-100,-76,-100,-100,-77,-73,-100,-100,-100,-71,-80,-100,-100,-100,-74,-100,-78,-76,-100,-74,-100,-71,-100,-71,-100,-100,-76,-100,-100,-59,-75,-100,-100,-100,-77,-41,-75,-74,-78,-100,-76,-100,-58,-100,-77,-100,-100,-100,-75,-58,-78
1662468595.175104,-100,-72,-74,-100,-80,-100,-100,-100,-100,-79,-100,-100,-79,-100,-79,-78,-100,-73,-74,-100,-100,-100,-100,-60,-100,-100,-100,-75,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-70,-74,-76,-100,-70,-74,-59,-75,-76,-100,-100,-76,-76,-75,-100,-100,-70,-58,-100,-100,-100,-67,-100,-58,-81,-100,-75,-100,-100,-71,-78,-100,-100,-100,-100,-48,-73,-66
1662468596.175073,-68,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-77,-100,-100,-76,-100,-100,-100,-100,-67,-100,-100,-100,-100,-78,-100,-100,-100,-77,-100,-100,-100,-100,-68,-75,-76,-79,-100,-100,-50,-100,-100,-100,-100,-100,-35,-100,-100,-100,-76,-100,-100,-50,-100,-100,-100,-100,-100,-100,-50,-100
1662468597.174964,-70,-58,-100,-100,-78,-100,-100,-79,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-71,-100,-75,-100,-100,-100,-67,-100,-100,-74,-73,-100,-100,-100,-69,-80,-100,-100,-78,-75,-100,-78,-76,-100,-74,-100,-71,-100,-70,-100,-100,-73,-100,-100,-58,-75,-100,-100,-100,-77,-41,-75,-74,-78,-100,-76,-100,-58,-100,-78,-100,-100,-100,-75,-58,-78
1662468598.175076,-70,-57,-100,-100,-78,-100,-100,-79,-100,-100,-100,-77,-78,-100,-75,-77,-100,-100,-100,-100,-100,-71,-100,-75,-100,-100,-100,-66,-100,-100,-65,-73,-100,-100,-100,-71,-80,-100,-100,-78,-68,-100,-78,-76,-100,-74,-100,-71,-100,-70,-100,-100,-68,-100,-100,-57,-75,-100,-100,-100,-77,-41,-75,-74,-100,-100,-76,-100,-58,-100,-78,-100,-100,-100,-75,-58,-78
