timestamp,x,y,3087D97197A8,3087D9316B48,3087D9315A88,3087D9B189C8,3087D9B17F28,3087D9315E88,3087D9B15C08,3087D9318248,3087D9720648,3087D97195E8,3087D9319A68,3087D9B17C4C,3087D97189CC,3087D972388C,3087D9717DC8,3087D9715E88,3087D9B19A68,3087D931D728,784476F094A8,3087D9317D08,3087D9715C0C,3087D9317768,3087D93153CC,3087D9B16B48,E8377AA53A64,3087D93197A8,001132535E07,3087D9717CEC,3087D9715A88,3087D97176AC,3087D93195E8,3087D971724C,3087D9317C4C,3087D97158AC,3087D9B159A8,3087D931724C,3087D9717F6C,3087D9B176A8,3087D93189C8,3087D97159C8,D66A6A4744A7,3087D972064C,3087D9B195E8,3087D971D728,3087D9B15128,3087D9B1D728,3087D97182AC,3087D9B155C8,3087D93159C8,3087D9319C0C,3087D9B197A8,3087D97153CC,3087D9B1614C,001132844802,3087D93155C8,3087D9715588,3087D9315588,3087D9717C4C,3087D971992C,3087D9317DC8,3087D9317FC8,3087D97155C8,3087D9316148,3087D9320648,C0A0BBCF658C,3087D97159A8,3087D931614C,3087D9719C0C,3087D931824C,3087D93159A8,3087D9719A68,3087D971614C,38D5471E6C00,3087D9B15A88,3087D9B17768,3497F66BEBA0,00246C2D1701,3087D9717D08,3087D9B17FC8,3087D9B16148,3087D9B17DC8,3087D9B15588,1C3A6002B2FC,3087D93176AC,3087D9B15E88,3087D9B1724C,3087D9717768,3087D9721E68,3087D9716B48,3087D93152CC,3087D9319908,3087D9719908,3087D9717D0C,3087D971548C,3087D9717E6C,3087D97152CC,3087D9B19908,3087D9323888,3087D9317F28
1660222505,2.0435293000000003,0.8545235000000001,0,-74,-74,0,0,-55,0,0,0,-75,-50,0,-51,0,-70,-56,-50,-74,0,0,0,0,0,-73,-62,0,0,0,-71,0,-77,0,0,0,0,0,0,0,0,0,-64,0,-76,-74,0,-75,0,-67,0,0,0,0,0,0,-68,0,0,0,0,-80,0,-77,0,0,-71,0,0,0,0,0,-50,0,0,-72,-76,0,0,0,0,0,-75,0,0,0,-63,0,-76,0,-73,0,-81,-81,0,0,0,0,-79,0,0
1660222506,2.1629262000000002,0.8547943000000001,0,0,-78,0,0,0,0,0,0,-63,-81,0,0,0,0,0,-80,0,0,0,0,-33,0,0,0,0,0,0,-77,0,-66,0,0,0,-81,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,-81,0,0,-78,-34,0,-80,0,-79,0,-80,-55,0,0,0,0,-34,0,0,0,-79,0,0,0,0,0,-76,0,0
1660222508,2.3739333,0.8551399,0,0,-77,0,0,-80,0,0,0,0,-59,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,-77,0,-84,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-80,0,0,0,0,0,0,0,0,-65,0,0,0,-63,0,0,0,-80,-77,-78,0,0,0,0,0,-78,0,0,0,0,-74,0,0,0,-39,-38,0,0,0,0,-39,0,0
1660222509,2.4334772,0.8567299,0,0,0,0,0,0,0,0,0,-44,0,0,0,0,0,0,-74,0,0,0,0,-61,0,-77,0,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,-78,0,0,-44,0,0,0,0,0,-78,0,0,0,0,0,-49,0,0,0,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,-77,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0
1660222510,2.5704262000000004,0.858358,0,-70,-68,-33,0,-62,0,0,0,0,0,0,0,-79,0,0,0,-77,0,0,0,-75,0,-72,-62,0,0,-83,0,0,0,0,0,0,0,0,0,0,-33,0,-72,0,-74,-79,0,0,-68,-75,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,-73,-75,0,0,0,0,0,0,0,0,0,0,0,-79,0,-69,-80,0,0,0,0,0,-79,0,0,0
1660222511,2.6299009,0.8606751,0,-75,-70,-33,0,-66,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,-73,0,-78,-68,0,0,-83,0,0,0,0,0,0,-78,0,0,0,-33,0,-77,0,-78,0,0,0,-68,-77,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,-73,-80,0,0,0,0,0,0,0,-63,-72,0,0,0,0,0,0,0,0,0,0,0,-74,0,-75,-80,-81,0,0,0,0,-79,0,0,0
1660222512,2.7740526,0.8647189000000001,0,-67,0,0,0,0,0,0,0,0,0,0,-82,0,0,-77,0,-71,0,0,0,-81,-78,-59,-69,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,-48,-71,0,-71,-55,-76,0,0,0,-78,0,-63,-76,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-80,0,0,0,0,0,0,0,-87,0,0,0,0,0,-67,-67,0,0,0,0,0,-67,0,0,0
1660222515,3.0260444,0.8726334000000001,0,0,-78,0,0,0,0,0,0,-71,0,0,0,0,0,0,-79,0,0,0,0,-36,0,0,0,0,0,0,-77,0,-74,0,0,0,0,0,0,0,0,-80,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,-80,0,0,-77,-38,0,0,0,-78,0,0,-61,0,0,0,0,-37,0,0,0,-78,0,0,0,0,0,-80,0,0
1660222516,3.093277,0.8736769,0,-66,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,-75,0,0,0,-75,-78,-66,-81,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,0,-69,-55,-68,0,0,0,-78,0,-67,-69,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,-76,0,0,0,0,0,0,0,-87,0,0,0,0,0,-70,-67,0,0,0,0,0,-67,0,0,0
1660222519,3.3634362,0.8761110999999999,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,-78,-84,-64,-74,0,-80,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,-65,0,-68,-53,-68,0,0,0,-82,0,-79,-65,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,-64,0,0,0,0,0,-64,0,0,0
