timestamp,30:87:D9:B1:7E:**,30:87:D9:F1:7E:**,30:87:D9:F1:76:**,30:87:D9:F2:38:**,30:87:D9:B1:82:**,30:87:D9:31:97:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:71:81:**,30:87:D9:31:7C:**,30:87:D9:B1:FC:**,30:87:D9:B1:7F:**,30:87:D9:B2:38:**,30:87:D9:F1:81:**,30:87:D9:B1:89:**,30:87:D9:72:38:**,30:87:D9:71:61:**,30:87:D9:71:5C:**,30:87:D9:B2:06:**,30:87:D9:71:99:**,00:24:6C:26:87:**,30:87:D9:72:06:**,30:87:D9:31:81:**,30:87:D9:F1:F0:**,30:87:D9:F2:06:**,30:87:D9:31:F0:**,30:87:D9:B1:7D:**,30:87:D9:31:95:**,30:87:D9:71:7D:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:71:F0:**,30:87:D9:B1:81:**,30:87:D9:B1:76:**,00:24:6C:26:8B:**,30:87:D9:F1:7F:**,34:97:F6:6B:EB:**,30:87:D9:F1:7D:**,30:87:D9:B1:97:**,30:87:D9:71:95:**,30:87:D9:B1:F0:**,00:24:6C:2D:1A:**,30:87:D9:71:FC:**,30:87:D9:31:7E:**,30:87:D9:B1:95:**,30:87:D9:71:7E:**,30:87:D9:71:58:**,30:87:D9:F1:95:**,30:87:D9:71:72:**,78:32:1B:CC:37:**,30:87:D9:71:7F:**,30:87:D9:31:89:**,E4:F0:42:E0:FB:**,30:87:D9:71:89:**,30:87:D9:71:97:**,30:87:D9:F1:97:**,30:87:D9:31:76:**,30:87:D9:71:9A:**,30:87:D9:F1:82:**,B0:6E:BF:3B:A8:**,30:87:D9:71:76:**,30:87:D9:31:7D:**,30:87:D9:31:82:**,30:87:D9:31:FC:**,30:87:D9:32:38:**,30:87:D9:F1:FC:**,30:87:D9:71:82:**
1662467245.165037,-100,-100,-53,-100,-100,-74,-75,-100,-100,-100,-74,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-71,-81,-100,-72,-100,-100,-76,-100,-81,-73,-100,-74,-52,-73,-76,-100,-100,-66,-74,-79,-70,-74,-100,-75,-100,-100,-79,-100,-100,-76,-80,-100,-79,-67,-65,-54,-100,-100,-75,-53,-100,-100,-69,-100,-74,-100
1662467246.165195,-100,-80,-51,-100,-100,-80,-89,-47,-77,-45,-72,-78,-100,-77,-100,-100,-59,-80,-100,-40,-100,-90,-77,-79,-100,-81,-68,-77,-72,-100,-79,-77,-78,-52,-74,-77,-100,-67,-79,-76,-77,-78,-73,-100,-77,-100,-80,-76,-49,-87,-71,-100,-85,-100,-79,-69,-54,-75,-100,-80,-56,-66,-100,-72,-78,-72,-100
1662467247.165025,-100,-100,-55,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-74,-40,-100,-75,-100,-100,-75,-100,-65,-100,-64,-78,-100,-100,-100,-54,-78,-100,-100,-64,-100,-100,-100,-76,-80,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-100,-100,-52,-100,-100,-100,-56,-63,-100,-100,-100,-100,-100
1662467248.164886,-100,-100,-73,-75,-78,-63,-63,-100,-100,-100,-77,-100,-75,-100,-74,-71,-100,-100,-62,-45,-100,-63,-79,-81,-61,-100,-100,-100,-100,-74,-100,-100,-100,-73,-78,-100,-78,-100,-72,-100,-100,-63,-79,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-71,-74,-73,-75,-100,-80,-77,-74,-100,-76,-100,-77,-100,-77
1662467249.165181,-100,-100,-75,-67,-78,-63,-66,-100,-71,-100,-100,-100,-70,-72,-71,-69,-100,-100,-71,-45,-100,-64,-77,-100,-71,-100,-100,-100,-100,-72,-100,-100,-100,-70,-74,-100,-100,-100,-62,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-70,-62,-63,-67,-100,-75,-77,-72,-100,-75,-100,-70,-100,-77
1662467250.165445,-100,-100,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-62,-100,-61,-69,-100,-100,-100,-46,-78,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-66,-100,-100,-46,-100,-100,-100,-46,-61,-100,-100,-100,-100,-100
1662467251.165627,-100,-100,-60,-100,-100,-74,-75,-100,-100,-100,-74,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-71,-81,-100,-72,-100,-100,-75,-100,-81,-73,-100,-74,-60,-73,-76,-100,-100,-68,-74,-79,-70,-74,-100,-75,-100,-100,-73,-100,-100,-76,-80,-100,-79,-67,-66,-62,-100,-100,-75,-61,-100,-100,-69,-100,-74,-100
1662467252.166043,-100,-100,-63,-80,-100,-65,-73,-100,-100,-100,-100,-72,-100,-100,-79,-100,-100,-100,-72,-45,-100,-71,-81,-100,-72,-100,-100,-100,-100,-81,-73,-100,-100,-63,-68,-76,-100,-100,-72,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-72,-72,-64,-100,-100,-79,-62,-100,-100,-100,-81,-100,-100
1662467253.165103,-100,-100,-53,-100,-100,-65,-79,-100,-76,-100,-75,-72,-100,-77,-100,-100,-100,-100,-100,-45,-100,-78,-77,-100,-100,-100,-100,-75,-100,-100,-79,-100,-76,-52,-73,-80,-100,-100,-65,-76,-79,-76,-77,-100,-77,-100,-100,-75,-100,-100,-78,-80,-100,-79,-66,-66,-53,-100,-100,-76,-52,-100,-100,-74,-100,-73,-100
1662467254.165137,-100,-100,-65,-73,-100,-62,-70,-100,-79,-100,-100,-100,-74,-78,-76,-74,-100,-100,-69,-45,-100,-69,-80,-78,-69,-78,-100,-100,-100,-78,-100,-78,-79,-64,-72,-100,-100,-100,-63,-100,-78,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-62,-69,-63,-100,-100,-77,-63,-100,-100,-100,-76,-100,-100
1662467255.165212,-100,-100,-67,-80,-100,-66,-72,-100,-100,-100,-100,-76,-79,-100,-79,-100,-100,-100,-72,-45,-78,-72,-100,-100,-71,-100,-100,-100,-100,-100,-71,-100,-100,-66,-71,-76,-100,-100,-65,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-64,-66,-66,-100,-100,-79,-59,-100,-100,-100,-81,-100,-100
