timestamp,x,z,30:87:D9:71:54:**,30:87:D9:F1:76:**,30:87:D9:B1:82:**,78:D2:94:7F:EB:**,30:87:D9:71:F0:**,30:87:D9:71:61:**,00:24:6C:26:89:**,00:24:6C:26:87:**,30:87:D9:F1:F0:**,30:87:D9:31:77:**,30:87:D9:B1:55:**,30:87:D9:B1:81:**,30:87:D9:B1:77:**,30:87:D9:31:95:**,30:87:D9:B1:5B:**,30:87:D9:71:FC:**,30:87:D9:B1:5C:**,30:87:D9:71:59:**,30:87:D9:31:82:**,30:87:D9:71:82:**,30:87:D9:31:55:**,30:87:D9:B1:FC:**,30:87:D9:B1:54:**,30:87:D9:71:5C:**,30:87:D9:F2:06:**,08:36:C9:8E:F4:**,30:87:D9:F1:59:**,30:87:D9:F1:95:**,30:87:D9:F1:99:**,30:87:D9:B1:7D:**,30:87:D9:71:58:**,30:87:D9:71:77:**,30:87:D9:F1:5B:**,30:87:D9:71:55:**,30:87:D9:F1:7D:**,30:87:D9:71:81:**,30:87:D9:B1:7F:**,30:87:D9:F1:FC:**,30:87:D9:B1:89:**,A8:5E:45:1B:B8:**,30:87:D9:B2:06:**,30:87:D9:31:81:**,30:87:D9:F1:82:**,30:87:D9:71:7D:**,00:24:6C:2D:1A:**,30:87:D9:31:5B:**,30:87:D9:31:59:**,30:87:D9:71:72:**,30:87:D9:31:99:**,30:87:D9:31:89:**,30:87:D9:71:89:**,30:87:D9:71:9A:**,30:87:D9:71:76:**,30:87:D9:31:FC:**,30:87:D9:31:72:**,30:87:D9:32:06:**,30:87:D9:71:7C:**,30:87:D9:31:76:**,30:87:D9:71:95:**,30:87:D9:F1:81:**,30:87:D9:31:9A:**,30:87:D9:71:99:**,30:87:D9:72:06:**,30:87:D9:F1:7F:**,30:87:D9:F1:89:**,30:87:D9:31:7F:**,30:87:D9:B1:99:**,30:87:D9:B1:76:**,34:97:F6:6B:EB:**,30:87:D9:B1:F0:**,30:87:D9:31:7C:**,30:87:D9:31:7D:**,30:87:D9:31:5C:**,30:87:D9:B1:95:**,30:87:D9:B1:9A:**,30:87:D9:B1:59:**,30:87:D9:71:5B:**,30:87:D9:71:7F:**,30:87:D9:F1:9A:**
1662476747,-0.6029563,17.9472389,-100,-63,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-83,-100,-100,-100,-48,-69,-71,-100,-65,-100,-100,-100,-100,-63,-100,-100,-100,-46,-100,-100,-70,-100,-49,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476748,-0.5899031,17.9313545,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-68,-100,-100,-100,-100,-100,-69,-100,-100,-78,-100,-100,-76,-34,-100,-100,-100,-100,-100,-100,-100,-78,-68,-79,-100,-79,-100,-100,-100,-72,-82,-100,-100,-35,-77,-79,-78,-53,-69,-100,-78,-100,-54,-100,-100,-78,-39,-77,-80,-77,-80,-33,-53,-100,-100,-100,-100,-100,-76,-77,-100,-100,-77,-77
1662476749,-0.6274823,17.9279041,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-83,-69,-100,-100,-100,-100,-100,-69,-100,-100,-77,-100,-100,-79,-34,-100,-100,-100,-100,-100,-100,-100,-77,-67,-80,-100,-78,-100,-100,-100,-72,-80,-100,-100,-33,-77,-78,-78,-53,-68,-100,-78,-100,-53,-77,-100,-76,-39,-77,-78,-79,-81,-33,-53,-100,-100,-100,-100,-100,-78,-76,-81,-81,-78,-76
1662476750,-0.6126777,17.9258747,-100,-57,-100,-100,-100,-100,-100,-78,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-71,-78,-100,-100,-100,-100,-63,-100,-100,-100,-46,-100,-100,-100,-100,-100,-100,-75,-100,-100,-70,-100,-66,-76,-100,-100,-53,-100,-100,-100,-46,-75,-69,-64,-58,-100,-100,-65,-100,-57,-100,-79,-63,-46,-65,-100,-69,-100,-46,-58,-100,-100,-100,-100,-100,-100,-65,-100,-100,-53,-65
1662476751,-0.5566943,17.9091587,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-73,-100,-100,-100,-100,-100,-76,-100,-100,-76,-100,-82,-100,-42,-100,-100,-100,-81,-100,-100,-80,-73,-75,-75,-100,-73,-81,-100,-100,-72,-81,-100,-100,-42,-75,-76,-74,-64,-74,-100,-69,-100,-65,-100,-76,-74,-42,-69,-72,-75,-74,-43,-65,-100,-100,-100,-100,-100,-100,-73,-100,-100,-62,-75
1662476752,-0.6355791,17.9181366,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-76,-100,-100,-100,-100,-100,-75,-100,-100,-79,-100,-100,-100,-34,-100,-100,-100,-100,-100,-100,-80,-80,-76,-76,-100,-79,-100,-100,-100,-74,-100,-100,-100,-34,-76,-77,-78,-62,-76,-100,-78,-100,-60,-100,-100,-78,-40,-79,-100,-78,-81,-34,-62,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-78
1662476753,-0.6481478,17.9252415,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-69,-100,-100,-100,-100,-100,-69,-100,-100,-78,-100,-100,-100,-40,-100,-100,-100,-100,-100,-100,-79,-75,-68,-100,-100,-77,-100,-100,-100,-73,-100,-100,-100,-37,-100,-100,-70,-64,-72,-100,-81,-100,-62,-100,-78,-72,-39,-79,-75,-100,-75,-37,-64,-100,-100,-100,-100,-100,-100,-70,-100,-100,-71,-72
1662476754,-0.6499664,17.9201794,-100,-62,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-83,-100,-100,-100,-52,-70,-70,-100,-62,-100,-100,-100,-100,-62,-100,-100,-100,-48,-100,-100,-68,-100,-52,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1662476755,-0.6511701,17.9071007,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-35,-100,-100,-100,-100,-100,-100,-100,-100,-77,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-35,-75,-74,-75,-62,-76,-100,-100,-100,-64,-82,-100,-77,-40,-100,-100,-77,-100,-35,-63,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-79
1662476756,-0.6636958,17.9181824,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-80,-50,-100,-100,-100,-100,-100,-100,-100,-100,-77,-74,-100,-100,-100,-100,-100,-76,-100,-100,-100,-49,-75,-74,-75,-62,-76,-100,-100,-100,-62,-82,-100,-77,-47,-100,-100,-77,-100,-50,-62,-100,-100,-100,-100,-100,-81,-75,-100,-100,-100,-79
